OBJECTID,BLOCK GEO ID,Median morning temperature,Median afternoon temperature,Median evening temperature,Percent tree coverage,Percent impervious coverage,Mean distance to water,TRACT GEO ID,Contains heat mapping,Total Pop,ALAND20,AWATER20,Percent heat mapping coverage,HRA name 2010,HRA ID 2010,HRA ID 2020,HRA name 2020,CITYNAME,include,2010 Census Tract Geo ID,Cardiovascular disease mortality rate,Quintile rank of cardiovascular disease mortality rate,Life expectancy,Quintile rank of life expectancy,Percent adults with diabetes,Quintile rank of adults with diabetes,Climate Change Disadvantaged,Clean Energy and Energy Efficiency Disadvantaged,Health Burdens Disadvantaged,Affordable and Sustainable Housing Disadvantaged,Reduction and Remediation of Legacy Pollution Disadvantaged,Clean Transit Disadvantaged,Training and Workforce Development Disadvantaged,Critical Clean Water and Waste Infrastructure Disadvantaged,Identified as disadvantaged,Percent of Population 65 Years and Over who Lives Alone,Percent of adults 18 years and over who have limited English ability,Percent of population with a disability,SVI Overall percentile ranking,SVI Sum of series for Socioeconomic Status theme,SVI Sum of series for Household Characteristics theme,SVI Sum of series for Racial and Ethnic Minority Status theme,SVI Sum of series for Housing Type / Transportation theme,SVI Sum of series themes,Percent of population whose income in the past 12 months is under 2.00x (200% of) the federal poverty level,Quintile rank of SVI overall theme,Quintile rank of SVI Socioeconomic Status theme,Quintile rank of SVI Household Characteristics theme,Quintile rank of SVI Racial and Ethnic Minority Status theme,Quintile rank of SVI Housing Type / Transportation theme,Quintile rank of senior social isolation,Quintile rank of limited English population,Quintile rank of population under 200% of the federal poverty level,Quintile rank of population with a disability,Quintile rank of tree coverage,Quintile rank of impervious coverage,Quintile rank of distance to water,Quintile rank of morning temperature,Quintile rank of afternoon temperature,Quintile rank of evening temperature,Percent LCI opportunity area coverage,Contains LCI opportunity area,Quintile rank of cardiovascular disease mortality rate,Shape__Area,Shape__Length,FEMA Community Disaster Resilience Zone,King County Council district,School District,Percent under 18 years old,Percent severe housing cost burdened,Percent single family homes,Percent multi-family homes,Quintile rank of population under 18,Quintile rank of households with severe housing cost burden,Quintile rank of multi-family homes
20613,530330033013006,60.601432800293,85.8458633422852,82.672046661377,0.223751089653323,0.639499351222185,4931.97275872878,53033003301,1,59,15587,0,100.000000000651,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003300,146.86,2,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,9.9,1.6,9.8,0.1669,1.3594,0.6191,0.4556,2.9994,5.4335,13.8,2,2,1,2,4,1,1,3,3,3,4,2,2,1,1,0,0,2,167762.484527588,1798.67468894769,0,4,Seattle,14.1,15.2112676056338,30.6,69.3548387096774,1,4,5
20614,530330293071019,54.9358997344971,90.0471572875977,79.9318962097168,0.665039886492016,0.061543186651514,33054.8383195755,53033029307,1,6,133025,0,100.000000000141,Fairwood,11000,8,"East Highlands, Hobart, and Greater Maple Valley",King County,1,53033029307,239.38,5,79.7,4,0.09,4,0,0,0,0,0,0,0,0,0,8.9,10.3,8.8,0.5062,1.7659,3.0873,0.6885,2.1498,7.6915,9.59999999999999,3,3,5,3,2,1,3,2,3,1,1,5,1,4,1,0,0,5,1431905.0539093,6035.75280047069,0,9,Kent,21.4,11.0188679245283,93.6,3.20056899004267,3,2,1
20615,530330293073007,58.6261863708496,89.9355545043945,85.4465637207031,0.279273333090565,0.414793479484832,29737.6278089412,53033029307,1,82,45926,0,99.9999999998395,Fairwood,11000,17,Fairwood,King County,1,53033029307,239.38,5,79.7,4,0.075,3,0,0,0,0,0,0,0,0,0,8.9,10.3,8.8,0.5062,1.7659,3.0873,0.6885,2.1498,7.6915,9.59999999999999,3,3,5,3,2,1,3,2,3,3,2,5,1,4,3,0,0,5,494356.855026245,3142.61384709565,0,9,Kent,21.4,11.0188679245283,93.6,3.20056899004267,3,2,1
20616,530330306002021,55.3937835693359,90.2064819335938,80.0574111938477,0.464532280583506,0.256866980924954,37205.9374194587,53033030600,1,6,83641,3189,100.000000000079,Auburn-North,1000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033030600,320.24,5,77.4,5,0.087,4,0,0,0,0,0,0,0,0,0,20.5,8.7,13.8,0.7404,3.5283,2.7743,0.6546,2.3719,9.3291,29.9,4,5,4,3,3,3,3,5,5,1,1,5,1,4,1,0,0,5,934709.471511841,9085.25339189922,0,9,Auburn,27.3,10.2608695652174,60.3,38.9025389025389,5,2,3
20617,530330306002023,55.3115425109863,89.9444160461426,82.0028457641602,0.544526420494419,0.200074508242406,35290.8525361987,53033030600,1,0,68504,0,100.000000000408,Auburn-North,1000,5,Auburn - North,Auburn,1,53033030600,320.24,5,77.4,5,0.119,5,0,0,0,0,0,0,0,0,0,20.5,8.7,13.8,0.7404,3.5283,2.7743,0.6546,2.3719,9.3291,29.9,4,5,4,3,3,3,3,5,5,1,1,5,1,4,1,0,0,5,737425.278656006,8556.06608749956,0,7,Auburn,27.3,10.2608695652174,60.3,38.9025389025389,5,2,3
20618,530330308022004,60.4365634918213,92.4129829406738,91.3884582519531,0.167886647680467,0.480671579482069,34272.4068607492,53033030802,1,170,62149,0,100.000000000328,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030802,424.74,5,73.8,5,0.109,5,1,0,0,0,1,1,0,0,1,38.8,21.1,13,0.789,3.3301,2.8646,0.7982,2.7421,9.735,28.7,5,5,5,4,3,4,5,5,4,4,3,5,2,5,5,77.5828055088722,1,5,669022.288269043,5127.20491937196,0,7,Auburn,24,11.6907605279698,64,35.975975975976,4,2,3
20619,530330308022008,59.4906730651855,92.2449417114258,91.7052955627441,0.106946488035313,0.800389887601602,33783.7841435185,53033030802,1,0,2700,0,100.000000000503,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030802,424.74,5,73.8,5,0.109,5,1,0,0,0,1,1,0,0,1,38.8,21.1,13,0.789,3.3301,2.8646,0.7982,2.7421,9.735,28.7,5,5,5,4,3,4,5,5,4,5,5,5,2,5,5,0,0,5,29065.8344421387,1032.96997275953,0,7,Auburn,24,11.6907605279698,64,35.975975975976,4,2,3
20620,530330308022005,59.9560165405273,92.0507507324219,91.4832382202148,0.116467547930563,0.435220627950356,34198.3266568792,53033030802,1,41,15453,0,99.9999999997036,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030802,424.74,5,73.8,5,0.109,5,1,0,0,0,1,1,0,0,1,38.8,21.1,13,0.789,3.3301,2.8646,0.7982,2.7421,9.735,28.7,5,5,5,4,3,4,5,5,4,4,2,5,2,5,5,72.2610444512986,1,5,166352.409255981,1643.39524605252,0,7,Auburn,24,11.6907605279698,64,35.975975975976,4,2,3
20621,530330308021000,61.740421295166,90.2001647949219,88.2344589233398,0.213894902286409,0.750888400790391,36896.18458369,53033030802,1,389,28194,0,99.9999999996178,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030802,424.74,5,73.8,5,0.109,5,1,0,0,0,1,1,0,0,1,38.8,21.1,13,0.789,3.3301,2.8646,0.7982,2.7421,9.735,28.7,5,5,5,4,3,4,5,5,4,3,5,5,3,4,5,0,0,5,303507.152038574,2298.94651356431,0,7,Auburn,24,11.6907605279698,64,35.975975975976,4,2,3
20622,530330311022007,62.0477104187012,90.1307830810547,87.2956848144531,0.133922393144195,0.585034719641331,37659.2959065083,53033031102,1,23,11782,0,100.000000000188,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,4,4,5,3,4,5,0,0,4,126836.916671753,1500.43616454349,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20623,530330311022008,60.9435501098633,89.0303649902344,85.0253219604492,0.419293818869678,0.278571347428591,38826.292973998,53033031102,2,255,447053,0,99.7041312080889,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,1,1,5,2,2,2,0,0,4,4812483.45314026,12981.0027932884,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20624,530330311022003,61.6500129699707,89.8312454223633,87.0378112792969,0.633961017509085,0.244334537277263,37948.3053469967,53033031102,1,0,7593,0,99.9999999995129,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,1,1,5,3,4,5,0,0,4,81740.388458252,1880.64803630831,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20626,530330091001009,65.3526840209961,90.2321853637695,87.4491119384766,0.138308367352836,0.652808227783729,4515.43466352122,53033009100,1,98,50643,0,100.000000000117,Downtown,2500,34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",Seattle,1,53033009100,113.22,1,78.4,4,0.057,2,1,0,1,1,1,1,1,1,1,50.2,42.5,28.2,0.9695,3.9933,3.1419,0.9734,3.7388,11.8474,47.6,5,5,5,5,5,5,5,5,5,4,4,2,5,4,5,0,0,1,545097.296234131,3498.83479495784,0,8,Seattle,7.7,23.9887640449438,0.2,99.8029556650246,1,5,5
20627,530330311012003,61.7820510864258,90.6407814025879,87.1596450805664,0.192381559101001,0.526256862666546,38218.0725266417,53033031101,1,69,22347,0,100.00000000032,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,4,3,5,3,5,5,0,0,4,240559.333251953,2287.22903289295,0,7,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20628,530330311012004,61.7491722106934,90.6473274230957,87.2253074645996,0.120109414296456,0.540176967540584,38709.3696546053,53033031101,1,101,32223,0,99.9999999989595,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,4,3,5,3,5,5,0,0,4,346878.914245605,2607.17593777035,0,7,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20629,530330311012012,61.8862247467041,90.6989059448242,87.0199699401855,0.245619301661363,0.412208943403612,39629.2325187242,53033031101,1,73,24365,0,100.000000000418,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,3,2,5,3,5,5,0,0,4,262284.459716797,2226.34629843613,0,7,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20630,530330311021001,62.5445556640625,91.1727294921875,87.7687187194824,0.357146057013156,0.413458201907472,38875.9626062798,53033031102,1,72,41980,0,100.000000000314,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,2,2,5,4,5,5,0,0,4,451905.414169312,3703.22099227162,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20631,530330311021008,61.6072654724121,90.7751388549805,86.6714706420898,0.117435989902633,0.568883222140565,39417.1057617187,53033031102,1,27,11593,0,99.9999999980478,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,4,4,5,3,5,4,0,0,4,124798.899368286,2105.50801240711,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20632,530330311021007,61.9129829406738,90.6575622558594,86.8899002075195,0.1013170098312,0.477493241424598,39339.7346540179,53033031102,1,39,11268,0,100.000000003254,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,5,3,5,3,5,5,0,0,4,121300.146224976,2106.85496249781,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20633,530330311021009,61.3815269470215,90.2785797119141,85.8970184326172,0.170037120184934,0.56116494560365,39723.7072832661,53033031102,1,105,47014,0,100.000000000077,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,4,4,5,3,4,3,0,0,4,506097.186279297,3522.03613602367,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20634,530330311021013,61.4547386169434,90.2418899536133,86.2454681396484,0.136632213041904,0.546034963013812,39347.599516369,53033031102,1,67,25396,0,99.9999999998811,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,4,4,5,3,4,4,0,0,4,273389.086959839,2002.39306168561,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20635,530330311021000,62.2521591186523,91.135669708252,87.6429023742676,0.277977454664271,0.626054342662996,39722.9555230454,53033031102,1,184,25587,0,100.000000000055,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,3,4,5,4,5,5,0,0,4,275445.737350464,2211.37236044759,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20636,530330311021010,61.7118034362793,90.5978012084961,86.2469100952148,0.277413014100657,0.544283614382968,40029.7669454225,53033031102,1,53,15294,0,99.9999999998943,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,31.3,9.2,19.6,0.8439,3.0928,3.1942,0.7733,3.2312,10.2915,34.3,5,4,5,3,4,4,3,5,5,3,4,5,3,5,4,0,0,4,164634.755889893,1874.50571633585,0,7,Auburn,20.9,18.6115214180207,46.4,28.1978798586572,3,5,3
20638,530330308021003,62.2503204345703,90.126781463623,86.8650550842285,0.230501711913299,0.489457123444491,37639.2551484048,53033030802,1,95,23259,0,99.9999999984923,Auburn-South,1100,2,Auburn - South,Auburn,1,53033030802,424.74,5,73.8,5,0.109,5,1,0,0,0,1,1,0,0,1,38.8,21.1,13,0.789,3.3301,2.8646,0.7982,2.7421,9.735,28.7,5,5,5,4,3,4,5,5,4,3,3,5,4,4,5,0,0,5,250383.525169373,2471.59269027395,0,7,Auburn,24,11.6907605279698,64,35.975975975976,4,2,3
20639,530330306002026,55.0961074829102,90.4778289794922,80.5370407104492,0.345009639985934,0.116625516575302,37939.1416174971,53033030600,1,2,86172,0,100.000000000191,Auburn-North,1000,5,Auburn - North,Auburn,1,53033030600,320.24,5,77.4,5,0.119,5,0,0,0,0,0,0,0,0,0,20.5,8.7,13.8,0.7404,3.5283,2.7743,0.6546,2.3719,9.3291,29.9,4,5,4,3,3,3,3,5,5,2,1,5,1,5,1,0,0,5,927618.613647461,4098.7190541768,0,7,Auburn,27.3,10.2608695652174,60.3,38.9025389025389,5,2,3
20640,530330306002028,55.9801750183105,91.2355003356934,85.1476936340332,0.0503727663603014,0.514649544940857,39718.7977430556,53033030600,1,0,5299,0,99.9999999998528,Auburn-North,1000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033030600,320.24,5,77.4,5,0.087,4,0,0,0,0,0,0,0,0,0,20.5,8.7,13.8,0.7404,3.5283,2.7743,0.6546,2.3719,9.3291,29.9,4,5,4,3,3,3,3,5,5,5,3,5,1,5,2,0,0,5,57040.7577056885,1117.77819539741,0,9,Auburn,27.3,10.2608695652174,60.3,38.9025389025389,5,2,3
20641,530330311013014,59.1503829956055,90.176383972168,86.2455062866211,0.271674856135327,0.0762795950267257,41244.4013403388,53033031101,1,12,613949,0,99.9999999999235,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031100,213.39,4,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,3,1,5,2,4,4,0.000366564656635962,1,4,6609054.48983765,11236.6459765825,0,9,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20642,530330311012001,56.5844478607178,89.6333351135254,81.4310340881348,0.680484726702998,0.128045792062935,38250.1758463542,53033031101,1,51,101513,0,100.000000000313,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,1,1,5,1,3,1,0,0,4,1092765.31271362,4740.33858107934,0,7,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20643,530330311012014,62.2358245849609,90.7161712646484,86.9629669189453,0.219191736136281,0.435372418310909,39537.3808987752,53033031101,1,80,34600,0,99.9999999993104,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,3,2,5,4,5,5,0,0,4,372462.731124878,3138.01408433151,0,7,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20644,530330311012010,61.7289085388184,90.521614074707,87.2899856567383,0.270127332749444,0.413975041947577,39460.6314139661,53033031101,1,89,24819,0,99.9999999991822,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,3,2,5,3,5,5,0,0,4,267175.527053833,2822.2169563149,0,7,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20645,530330311012009,61.9075546264648,90.3827667236328,87.1496849060059,0.307508113670545,0.415841110176835,39788.4761453277,53033031101,1,21,10549,0,99.9999999999526,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,2,2,5,3,5,5,0,0,4,113562.605606079,1862.87694515501,0,7,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20646,530330311013007,57.720760345459,91.0356521606445,86.0256881713867,0.136664070181711,0.0476864678593141,45215.2016150612,53033031101,2,5,160379,3287,99.7758997328749,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031100,213.39,4,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,4,1,5,1,5,4,0,0,4,1761841.54063416,6642.05949310012,0,9,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20647,530330311013008,61.2249984741211,90.2170791625977,86.2993927001953,0.472370979592354,0.331261350511471,42775.9150160759,53033031101,1,845,263995,0,100.00000000008,Auburn-South,1100,2,Auburn - South,Auburn,1,53033031100,213.39,4,73.8,5,0.109,5,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,1,2,5,2,4,4,53.3035221444346,1,4,2841864.88572693,8481.49616630444,0,7,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20648,530330311013005,57.5457801818848,90.3620300292969,86.5800476074219,0.219658579414814,0.0508029035119342,43565.1558543199,53033031101,2,1,616775,7648,96.5965125489808,Black Diamond/Enumclaw/SE County,5000,1,"Enumclaw, Black Diamond, and Southeast King County",King County,1,53033031100,213.39,4,78.4,4,0.087,4,0,0,0,0,0,0,0,0,0,10.8,14.5,15.2,0.8462,3.4713,2.3315,0.9084,3.608,10.3192,31.9,5,5,3,5,5,1,4,5,5,3,1,5,1,5,4,0,0,4,6721820.5337677,15329.051516189,0,9,Auburn,30.4,23.1847133757962,41.2,51.2610340479193,5,5,4
20649,530330121002017,62.9855041503906,89.2178497314453,86.3255844116211,0.262974886243584,0.422452421728556,1125.10244934817,53033012100,1,51,25129,0,100.000000000088,West Seattle,2960,32,Seattle - West Seattle,Seattle,1,53033012100,132.14,2,84.4,1,0.05,2,0,0,0,0,0,0,0,0,0,33.4,3.9,11.5,0.1012,0.5859,2.4249,0.3527,1.4823,4.8458,5.8,1,1,3,1,1,4,2,1,4,3,2,1,5,3,4,0,0,2,270487.264648438,2276.42059878662,0,8,Seattle,21.2,7.38589211618257,86.9,13.1477184841454,3,1,2
20650,530330121002004,62.4356422424316,88.9538078308105,86.0654640197754,0.285104438183343,0.461910647856031,2616.85171919602,53033012100,1,97,41622,0,100.00000000127,West Seattle,2960,32,Seattle - West Seattle,Seattle,1,53033012100,132.14,2,84.4,1,0.05,2,0,0,0,0,0,0,0,0,0,33.4,3.9,11.5,0.1012,0.5859,2.4249,0.3527,1.4823,4.8458,5.8,1,1,3,1,1,4,2,1,4,2,3,2,4,2,4,0,0,2,448008.724136353,3395.17878874536,0,8,Seattle,21.2,7.38589211618257,86.9,13.1477184841454,3,1,2
20651,530330120002017,62.4949111938477,89.5707092285156,86.2660522460938,0.260757616115402,0.490021070890479,2805.08308774687,53033012000,1,90,40024,0,100.000000000923,West Seattle,2960,32,Seattle - West Seattle,Seattle,1,53033012000,168.27,3,84.4,1,0.05,2,0,0,0,0,0,0,0,0,0,37.6,2.6,5.8,0.0226,0.7453,1.948,0.2346,0.8843,3.8122,7.09999999999999,1,1,2,1,1,4,1,1,1,3,3,2,4,3,4,0,0,3,430805.964355469,3384.35185330952,0,8,Seattle,21.6,8.39539607312119,96.3,3.68932038834951,4,1,1
20652,530330120001013,61.6436614990234,89.8701705932617,86.6053009033203,0.197850357457644,0.548772438499664,4253.43530847886,53033012000,1,56,17075,0,100.000000000714,West Seattle,2960,32,Seattle - West Seattle,Seattle,1,53033012000,168.27,3,84.4,1,0.05,2,0,0,0,0,0,0,0,0,0,37.6,2.6,5.8,0.0226,0.7453,1.948,0.2346,0.8843,3.8122,7.09999999999999,1,1,2,1,1,4,1,1,1,4,4,2,3,4,4,0,0,3,183792.029129028,1897.2518951185,0,8,Seattle,21.6,8.39539607312119,96.3,3.68932038834951,4,1,1
20653,530330120001001,62.3790512084961,89.5831680297852,86.4813995361328,0.240084461413861,0.533781182967167,4640.74600877288,53033012000,1,124,36134,0,99.9999999996369,West Seattle,2960,32,Seattle - West Seattle,Seattle,1,53033012000,168.27,3,84.4,1,0.05,2,0,0,0,0,0,0,0,0,0,37.6,2.6,5.8,0.0226,0.7453,1.948,0.2346,0.8843,3.8122,7.09999999999999,1,1,2,1,1,4,1,1,1,3,3,2,4,3,4,0,0,3,388938.401397705,3360.32732731142,0,8,Seattle,21.6,8.39539607312119,96.3,3.68932038834951,4,1,1
20654,530330114023008,62.6263084411621,88.8418197631836,87.2826232910156,0.200806451612903,0.652685881180273,4484.85990157782,53033011402,1,73,20217,0,99.9999999996307,Delridge,2400,27,Seattle - Delridge,Seattle,1,53033011402,287.83,5,78.2,5,0.13,5,0,0,0,0,0,0,1,0,1,54.4,20,14.8,0.7907,3.6044,2.6538,0.9226,2.5743,9.7551,17.3,5,5,4,5,3,5,5,3,5,3,4,2,4,2,5,0,0,5,217611.571029663,1976.21867949327,0,8,Seattle,18.8,14.4205558468799,46,53.9920159680639,2,4,4
20655,530330115002011,61.2278633117676,88.5728492736816,87.1136436462402,0.31430818091766,0.471553049673157,4432.25758605072,53033011500,1,57,20470,0,100.000000000049,Delridge,2400,27,Seattle - Delridge,Seattle,1,53033011500,194.77,4,78.2,5,0.13,5,0,0,0,0,0,0,0,0,0,23.3,5.1,8.3,0.1109,1.6403,1.7372,0.4963,1.0754,4.9492,13.4,1,2,2,2,1,3,2,3,3,2,3,2,2,2,5,0,0,4,220335.760894775,1990.18654412984,0,8,Seattle,17.8,14.380081300813,85.1,14.8538572113081,2,4,2
20656,530330115002001,61.2695293426514,89.2864723205566,87.1094360351563,0.272142493638677,0.572608546152051,4526.97237060547,53033011500,1,29,20537,0,99.9999999981561,Delridge,2400,27,Seattle - Delridge,Seattle,1,53033011500,194.77,4,78.2,5,0.13,5,0,0,0,0,0,0,0,0,0,23.3,5.1,8.3,0.1109,1.6403,1.7372,0.4963,1.0754,4.9492,13.4,1,2,2,2,1,3,2,3,3,3,4,2,2,3,5,0,0,4,221058.523910522,1991.90116701296,0,8,Seattle,17.8,14.380081300813,85.1,14.8538572113081,2,4,2
20657,530330115002000,61.6699199676514,88.8757286071777,87.1648101806641,0.292388595051371,0.518839242799409,4697.27831316692,53033011500,1,68,20630,0,100.00000000011,Delridge,2400,27,Seattle - Delridge,Seattle,1,53033011500,194.77,4,78.2,5,0.13,5,0,0,0,0,0,0,0,0,0,23.3,5.1,8.3,0.1109,1.6403,1.7372,0.4963,1.0754,4.9492,13.4,1,2,2,2,1,3,2,3,3,2,3,2,3,2,5,0,0,4,222057.220245361,1994.60621775364,0,8,Seattle,17.8,14.380081300813,85.1,14.8538572113081,2,4,2
20658,530330115003015,63.9624900817871,87.8816223144531,86.6726150512695,0.244546245636496,0.575597667664836,4996.71939498546,53033011500,1,51,20899,0,99.999999999496,Delridge,2400,27,Seattle - Delridge,Seattle,1,53033011500,194.77,4,78.2,5,0.13,5,0,0,0,0,0,0,0,0,0,23.3,5.1,8.3,0.1109,1.6403,1.7372,0.4963,1.0754,4.9492,13.4,1,2,2,2,1,3,2,3,3,3,4,2,5,1,4,0,0,4,224955.741271973,2007.90713048227,0,8,Seattle,17.8,14.380081300813,85.1,14.8538572113081,2,4,2
20659,530330038001003,61.4040374755859,87.8026428222656,84.7203369140625,0.282528617723172,0.491587007452153,8009.01948513455,53033003800,1,66,17928,0,99.9999999997226,NE Seattle,2600,50,Seattle - Ravenna and Bryant,Seattle,1,53033003800,,1,85.5,1,0.029,1,0,0,0,0,0,0,0,0,0,29.1,5.3,5.9,0.0583,1.0851,0.7175,0.6111,1.9314,4.3451,11.9,1,2,1,2,2,3,2,2,1,2,3,3,3,1,2,0,0,1,192958.720550537,1908.74610572438,0,1,Seattle,20.9,14.4864864864865,63.6,36.4476386036961,3,4,3
