GEO_ID,STATE,COUNTY,TRACT,NAME,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM,LONG_90_DAY,MAX_WBT,EXPOSED
1400000US53033002800,53,33,2800,"Census Tract 28, King County, Washington",4829,857,612,17.75,12.67,3186,674,65.98,13.95,786,559,16.28,11.58,1,79.5,0
1400000US53033002900,53,33,2900,"Census Tract 29, King County, Washington",4545,1270,565,27.94,12.42,2355,620,51.82,13.64,920,516,20.24,11.35,1,79.5,0
1400000US53033003000,53,33,3000,"Census Tract 30, King County, Washington",6312,2500,731,39.61,11.59,2845,804,45.07,12.73,967,666,15.32,10.55,1,79.5,0
1400000US53033003100,53,33,3100,"Census Tract 31, King County, Washington",6359,1253,695,19.7,10.92,3282,774,51.61,12.17,1824,669,28.68,10.52,1,79.5,0
1400000US53033003201,53,33,3201,"Census Tract 32.01, King County, Washington",4645,957,556,20.6,11.97,2797,632,60.22,13.61,891,565,19.18,12.16,1,79.5,0
1400000US53033003202,53,33,3202,"Census Tract 32.02, King County, Washington",4665,836,581,17.92,12.46,2610,642,55.95,13.76,1219,538,26.13,11.52,1,79.5,0
1400000US53033003301,53,33,3301,"Census Tract 33.01, King County, Washington",4264,1194,566,28,13.27,2251,616,52.79,14.45,819,491,19.21,11.52,1,79.5,0
1400000US53033003302,53,33,3302,"Census Tract 33.02, King County, Washington",3379,673,382,19.92,11.32,2153,417,63.72,12.33,553,334,16.37,9.89,1,79.5,0
1400000US53033003400,53,33,3400,"Census Tract 34, King County, Washington",3459,623,398,18.01,11.49,2067,439,59.76,12.69,769,369,22.23,10.66,1,79.5,0
1400000US53033003500,53,33,3500,"Census Tract 35, King County, Washington",4111,1071,440,26.05,10.71,2169,498,52.76,12.11,871,446,21.19,10.85,1,79.5,0
1400000US53033003601,53,33,3601,"Census Tract 36.01, King County, Washington",3789,996,459,26.29,12.1,1446,520,38.16,13.73,1347,463,35.55,12.22,1,79.5,0
1400000US53033003602,53,33,3602,"Census Tract 36.02, King County, Washington",4540,903,564,19.89,12.42,2453,619,54.03,13.64,1184,497,26.08,10.95,1,79.5,0
1400000US53033003800,53,33,3800,"Census Tract 38, King County, Washington",2436,770,320,31.61,13.13,1284,358,52.71,14.68,382,304,15.68,12.47,1,79.5,0
1400000US53033003900,53,33,3900,"Census Tract 39, King County, Washington",2983,721,340,24.17,11.38,1895,380,63.53,12.73,367,325,12.3,10.9,1,79.5,0
1400000US53033004000,53,33,4000,"Census Tract 40, King County, Washington",3270,442,394,13.52,12.05,2005,456,61.31,13.94,823,407,25.17,12.46,1,79.5,0
1400000US53033004101,53,33,4101,"Census Tract 41.01, King County, Washington",3740,774,412,20.7,11.02,2208,465,59.04,12.43,758,410,20.27,10.95,1,79.5,0
1400000US53033004102,53,33,4102,"Census Tract 41.02, King County, Washington",4179,1092,466,26.13,11.15,2131,528,50.99,12.63,956,468,22.88,11.2,1,79.5,0
1400000US53033004201,53,33,4201,"Census Tract 42.01, King County, Washington",3904,680,448,17.42,11.47,2149,509,55.05,13.04,1075,449,27.54,11.51,1,79.5,0
1400000US53033004202,53,33,4202,"Census Tract 42.02, King County, Washington",4351,1044,455,23.99,10.45,2374,510,54.56,11.71,933,440,21.44,10.11,1,79.5,0
1400000US53033004301,53,33,4301,"Census Tract 43.01, King County, Washington",3402,363,392,10.67,11.52,1896,442,55.73,13,1143,383,33.6,11.27,1,79.5,0
1400000US53033004302,53,33,4302,"Census Tract 43.02, King County, Washington",3170,361,394,11.39,12.44,1562,442,49.27,13.96,1247,370,39.34,11.66,1,79.5,0
1400000US53033004401,53,33,4401,"Census Tract 44.01, King County, Washington",3550,1302,433,36.68,12.19,1632,478,45.97,13.47,616,394,17.35,11.11,1,79.5,0
1400000US53033004402,53,33,4402,"Census Tract 44.02, King County, Washington",3591,429,451,11.95,12.57,1477,496,41.13,13.82,1685,391,46.92,10.87,1,79.5,0
1400000US53033004500,53,33,4500,"Census Tract 45, King County, Washington",2914,976,384,33.49,13.18,1582,421,54.29,14.45,356,342,12.22,11.73,1,79.5,0
1400000US53033004600,53,33,4600,"Census Tract 46, King County, Washington",3470,1060,393,30.55,11.33,1876,436,54.06,12.56,534,369,15.39,10.64,1,79.5,0
1400000US53033004701,53,33,4701,"Census Tract 47.01, King County, Washington",3606,664,458,18.41,12.7,1977,515,54.83,14.29,965,445,26.76,12.34,1,79.5,0
1400000US53033004702,53,33,4702,"Census Tract 47.02, King County, Washington",3881,619,506,15.95,13.04,2175,558,56.04,14.37,1087,455,28.01,11.73,1,79.5,0
1400000US53033004703,53,33,4703,"Census Tract 47.03, King County, Washington",3580,619,470,17.29,13.13,2186,517,61.06,14.44,775,423,21.65,11.82,1,79.5,0
1400000US53033004800,53,33,4800,"Census Tract 48, King County, Washington",4992,864,636,17.31,12.75,2969,700,59.48,14.01,1159,579,23.22,11.6,1,79.5,0
1400000US53033004901,53,33,4901,"Census Tract 49.01, King County, Washington",3767,581,496,15.42,13.17,2243,544,59.54,14.44,943,449,25.03,11.91,1,79.5,0
1400000US53033004902,53,33,4902,"Census Tract 49.02, King County, Washington",3086,665,382,21.55,12.37,1611,416,52.2,13.47,810,331,26.25,10.72,1,79.5,0
1400000US53033005000,53,33,5000,"Census Tract 50, King County, Washington",4454,1187,566,26.65,12.71,1700,627,38.17,14.08,1567,524,35.18,11.76,1,79.5,0
1400000US53033005100,53,33,5100,"Census Tract 51, King County, Washington",3917,919,444,23.46,11.32,2174,492,55.5,12.56,824,417,21.04,10.64,1,79.5,0
1400000US53033005201,53,33,5201,"Census Tract 52.01, King County, Washington",3881,596,482,15.36,12.41,1662,534,42.82,13.76,1623,440,41.82,11.33,1,79.5,0
